"feature"	"treatment"	"doseLevel"
"1"	"A20_DMEM"	"Andrographolide"	"1"
"2"	"A20_DMEM"	"Andrographolide"	"2"
"3"	"A20_DMEM"	"Andrographolide"	"3"
"4"	"A20_DMEM"	"Andrographolide"	"4"
"5"	"A20_DMEM"	"Andrographolide"	"5"
"6"	"A20_DMEM"	"Andrographolide"	"6"
"7"	"A20_DMEM"	"Andrographolide"	"7"
"8"	"A20_DMEM"	"Andrographolide"	"8"
"9"	"A20_DMEM"	"CDDO-Me"	"1"
"10"	"A20_DMEM"	"CDDO-Me"	"2"
"11"	"A20_DMEM"	"CDDO-Me"	"3"
"12"	"A20_DMEM"	"CDDO-Me"	"4"
"13"	"A20_DMEM"	"CDDO-Me"	"5"
"14"	"A20_DMEM"	"CDDO-Me"	"6"
"15"	"A20_DMEM"	"CDDO-Me"	"7"
"16"	"A20_DMEM"	"CDDO-Me"	"8"
"17"	"A20_DMEM"	"DEM"	"1"
"18"	"A20_DMEM"	"DEM"	"2"
"19"	"A20_DMEM"	"DEM"	"3"
"20"	"A20_DMEM"	"DEM"	"4"
"21"	"A20_DMEM"	"DEM"	"5"
"22"	"A20_DMEM"	"DEM"	"6"
"23"	"A20_DMEM"	"DEM"	"7"
"24"	"A20_DMEM"	"DEM"	"8"
"25"	"A20_DMEM"	"Diclofenac"	"1"
"26"	"A20_DMEM"	"Diclofenac"	"2"
"27"	"A20_DMEM"	"Diclofenac"	"3"
"28"	"A20_DMEM"	"Diclofenac"	"4"
"29"	"A20_DMEM"	"Diclofenac"	"5"
"30"	"A20_DMEM"	"Diclofenac"	"6"
"31"	"A20_DMEM"	"Diclofenac"	"7"
"32"	"A20_DMEM"	"Diclofenac"	"8"
"33"	"A20_DMEM"	"Diclofenac"	"9"
"34"	"A20_DMEM"	"DMSO"	"1"
"35"	"A20_DMEM"	"Ethacrynic acid"	"1"
"36"	"A20_DMEM"	"Ethacrynic acid"	"2"
"37"	"A20_DMEM"	"Ethacrynic acid"	"3"
"38"	"A20_DMEM"	"Ethacrynic acid"	"4"
"39"	"A20_DMEM"	"Ethacrynic acid"	"5"
"40"	"A20_DMEM"	"Ethacrynic acid"	"6"
"41"	"A20_DMEM"	"Ethacrynic acid"	"7"
"42"	"A20_DMEM"	"Ethacrynic acid"	"8"
"43"	"A20_DMEM"	"Sulforaphane"	"1"
"44"	"A20_DMEM"	"Sulforaphane"	"2"
"45"	"A20_DMEM"	"Sulforaphane"	"3"
"46"	"A20_DMEM"	"Sulforaphane"	"4"
"47"	"A20_DMEM"	"Sulforaphane"	"5"
"48"	"A20_DMEM"	"Sulforaphane"	"6"
"49"	"A20_DMEM"	"Sulforaphane"	"7"
"50"	"A20_DMEM"	"Sulforaphane"	"8"
"51"	"A20_DMEM"	"TBHQ"	"1"
"52"	"A20_DMEM"	"TBHQ"	"2"
"53"	"A20_DMEM"	"TBHQ"	"3"
"54"	"A20_DMEM"	"TBHQ"	"4"
"55"	"A20_DMEM"	"TBHQ"	"5"
"56"	"A20_DMEM"	"TBHQ"	"6"
"57"	"A20_DMEM"	"TBHQ"	"7"
"58"	"A20_DMEM"	"TBHQ"	"8"
"59"	"A20_DMEM"	"TBHQ"	"9"
"60"	"A20_DMEM"	"Troglitazone"	"1"
"61"	"A20_DMEM"	"Troglitazone"	"2"
"62"	"A20_DMEM"	"Troglitazone"	"3"
"63"	"A20_DMEM"	"Troglitazone"	"4"
"64"	"A20_DMEM"	"Troglitazone"	"5"
"65"	"A20_DMEM"	"Troglitazone"	"6"
"66"	"A20_DMEM"	"Troglitazone"	"7"
"67"	"A20_DMEM"	"Troglitazone"	"8"
"68"	"A20_DMEM"	"Troglitazone"	"9"
"69"	"A20_IL1"	"Andrographolide"	"1"
"70"	"A20_IL1"	"Andrographolide"	"2"
"71"	"A20_IL1"	"Andrographolide"	"3"
"72"	"A20_IL1"	"Andrographolide"	"4"
"73"	"A20_IL1"	"Andrographolide"	"5"
"74"	"A20_IL1"	"Andrographolide"	"6"
"75"	"A20_IL1"	"Andrographolide"	"7"
"76"	"A20_IL1"	"Andrographolide"	"8"
"77"	"A20_IL1"	"CDDO-Me"	"1"
"78"	"A20_IL1"	"CDDO-Me"	"2"
"79"	"A20_IL1"	"CDDO-Me"	"3"
"80"	"A20_IL1"	"CDDO-Me"	"4"
"81"	"A20_IL1"	"CDDO-Me"	"5"
"82"	"A20_IL1"	"CDDO-Me"	"6"
"83"	"A20_IL1"	"CDDO-Me"	"7"
"84"	"A20_IL1"	"CDDO-Me"	"8"
"85"	"A20_IL1"	"DEM"	"1"
"86"	"A20_IL1"	"DEM"	"2"
"87"	"A20_IL1"	"DEM"	"3"
"88"	"A20_IL1"	"DEM"	"4"
"89"	"A20_IL1"	"DEM"	"5"
"90"	"A20_IL1"	"DEM"	"6"
"91"	"A20_IL1"	"DEM"	"7"
"92"	"A20_IL1"	"DEM"	"8"
"93"	"A20_IL1"	"Diclofenac"	"1"
"94"	"A20_IL1"	"Diclofenac"	"2"
"95"	"A20_IL1"	"Diclofenac"	"3"
"96"	"A20_IL1"	"Diclofenac"	"4"
"97"	"A20_IL1"	"Diclofenac"	"5"
"98"	"A20_IL1"	"Diclofenac"	"6"
"99"	"A20_IL1"	"Diclofenac"	"7"
"100"	"A20_IL1"	"Diclofenac"	"8"
"101"	"A20_IL1"	"Diclofenac"	"9"
"102"	"A20_IL1"	"DMSO"	"1"
"103"	"A20_IL1"	"Ethacrynic acid"	"1"
"104"	"A20_IL1"	"Ethacrynic acid"	"2"
"105"	"A20_IL1"	"Ethacrynic acid"	"3"
"106"	"A20_IL1"	"Ethacrynic acid"	"4"
"107"	"A20_IL1"	"Ethacrynic acid"	"5"
"108"	"A20_IL1"	"Ethacrynic acid"	"6"
"109"	"A20_IL1"	"Ethacrynic acid"	"7"
"110"	"A20_IL1"	"Ethacrynic acid"	"8"
"111"	"A20_IL1"	"Sulforaphane"	"1"
"112"	"A20_IL1"	"Sulforaphane"	"2"
"113"	"A20_IL1"	"Sulforaphane"	"3"
"114"	"A20_IL1"	"Sulforaphane"	"4"
"115"	"A20_IL1"	"Sulforaphane"	"5"
"116"	"A20_IL1"	"Sulforaphane"	"6"
"117"	"A20_IL1"	"Sulforaphane"	"7"
"118"	"A20_IL1"	"Sulforaphane"	"8"
"119"	"A20_IL1"	"TBHQ"	"1"
"120"	"A20_IL1"	"TBHQ"	"2"
"121"	"A20_IL1"	"TBHQ"	"3"
"122"	"A20_IL1"	"TBHQ"	"4"
"123"	"A20_IL1"	"TBHQ"	"5"
"124"	"A20_IL1"	"TBHQ"	"6"
"125"	"A20_IL1"	"TBHQ"	"7"
"126"	"A20_IL1"	"TBHQ"	"8"
"127"	"A20_IL1"	"TBHQ"	"9"
"128"	"A20_IL1"	"Troglitazone"	"1"
"129"	"A20_IL1"	"Troglitazone"	"2"
"130"	"A20_IL1"	"Troglitazone"	"3"
